iter	RMSE
455	0.7115726442
456	0.7109741925
457	0.7099595562
458	0.7090253147
459	0.7087023782
460	0.7086591427
461	0.7079711339
462	0.7073033069
463	0.7065931493
464	0.7058967828
465	0.7046913108
466	0.7043378096
467	0.7035954331
468	0.702768666
469	0.7026925322
470	0.702029718
471	0.7012555526
472	0.7005215115
473	0.699978485
474	0.699536485
475	0.6990791102
476	0.6986850781
477	0.69864473
478	0.6981568977
479	0.6979043549
480	0.697837271
481	0.6972610788
482	0.6970816695
483	0.6962159937
484	0.6954881414
485	0.6932384544
486	0.6919838558
487	0.6910752986
488	0.690140617
489	0.6897240343
490	0.6892382051
491	0.6880129413
492	0.6871140564
493	0.6866259964
494	0.6864658304
495	0.6861470327
496	0.6852011918
497	0.6847956842
498	0.6840123372
499	0.6838439927
500	0.6837945616
501	0.6831623651
502	0.6822427144
503	0.6806262294
504	0.6798706447
505	0.6795069951
506	0.67889911
507	0.6782535505
508	0.6776689811
509	0.6769365737
510	0.6763212081
511	0.6761084613
512	0.6754664904
513	0.6744959806
514	0.6743149102
515	0.6741034384
516	0.6737038728
517	0.6728414315
518	0.67127112
519	0.6709103338
520	0.6700947662
521	0.6686255818
522	0.6669771881
523	0.6664069324
524	0.6660265467
525	0.6653903592
526	0.6645711539
527	0.6641435825
528	0.6632044926
529	0.6623807771
530	0.6605583655
531	0.6598598352
532	0.6588665996
533	0.6580725765
534	0.6577854982
535	0.657745703
536	0.6569777857
537	0.6557175349
538	0.6549303893
539	0.6539053237
540	0.6532648926
541	0.6527376368
542	0.6520022392
543	0.6512838281
544	0.6507144345
545	0.6502079141
546	0.6495776482
547	0.6488707411
548	0.6488308833
549	0.6475651282
550	0.6471374377
551	0.6463373893
552	0.6462786772
553	0.6456888794
554	0.6449924504
555	0.6443489584
556	0.6437480752
557	0.643406913
558	0.642653255
559	0.6417551225
560	0.6410351408
561	0.6399461876
562	0.639908147
563	0.6394181989
564	0.6391435761
565	0.6385245105
566	0.638466693
567	0.6376388516
568	0.6374503487
569	0.6367126286
570	0.6358748476
571	0.6353215279
572	0.6352717629
573	0.6352418519
574	0.6350541808
575	0.6344458614
576	0.6336823471
577	0.6332790811
578	0.6325403657
579	0.6319285617
580	0.6314925792
581	0.6314582844
582	0.6311024981
583	0.6308498134
584	0.6301970453
585	0.6300133687
586	0.6288877592
587	0.6282927387
588	0.6270358495
589	0.6262081672
590	0.6261718184
591	0.6256723593
592	0.6249533443
593	0.6245816452
594	0.624546671
595	0.6244669863
596	0.6241402141
597	0.6235655791
598	0.6229040308
599	0.6225636309
600	0.6216647783
601	0.6207847673
602	0.6202594422
603	0.6196249423
604	0.619054009
605	0.61822739
606	0.6175244731
607	0.6172819863
608	0.6163899966
609	0.615425532
610	0.6152114999
611	0.6145193895
612	0.6134632234
613	0.6132734494
614	0.6129390499
615	0.6116898377
616	0.611644961
617	0.6096612769
618	0.6093970743
619	0.6088602112
620	0.6088122289
621	0.6084751384
622	0.6084436918
623	0.6079486519
624	0.6079225064
625	0.6071773054
626	0.6066640766
627	0.6060980151
628	0.6055474128
629	0.6051715088
630	0.6046181664
631	0.6042090606
632	0.6030752283
633	0.6022171593
634	0.6012796493
635	0.6008702448
636	0.6007287421
637	0.600190069
638	0.5995380946
639	0.5989451745
640	0.5983449914
641	0.597646886
642	0.596982158
643	0.5966006858
644	0.5965623946
645	0.5961475731
646	0.5955932007
647	0.5948925761
648	0.5943783366
649	0.5943414923
650	0.5937246533
651	0.5933808737
652	0.5929008542
653	0.5928548253
654	0.5918826561
655	0.5915796144
656	0.5910759184
657	0.5904618342
658	0.5901786273
659	0.5895313823
660	0.5892243826
661	0.5882918742
662	0.5876686323
663	0.587146315
664	0.5868665477
665	0.5865472108
666	0.5854766495
667	0.5851321554
668	0.5847880824
669	0.5844234247
670	0.5840811413
671	0.5830635195
672	0.5825711912
673	0.5820466056
674	0.5815439366
675	0.5809834014
676	0.5802572004
677	0.5796900515
678	0.5789514437
679	0.5788098353
680	0.5775265248
681	0.5771734579
682	0.5767573356
683	0.5761489744
684	0.5757207345
685	0.5753922213
686	0.5750944058
687	0.5744599531
688	0.5741288751
689	0.5739483389
690	0.5730444035
691	0.5723447665
692	0.5717520117
693	0.5710843677
694	0.5709895535
695	0.5706104326
696	0.5702594355
697	0.5695689696
698	0.5692761821
699	0.5690495085
700	0.5686030051
701	0.5681458405
702	0.56750455
703	0.5670559011
704	0.5667113746
705	0.5663867463
706	0.5663629713
707	0.5651466275
708	0.5643956529
709	0.5633710372
710	0.5625398397
711	0.561851135
712	0.5614972258
713	0.5612979002
714	0.5605524412
715	0.5601589321
716	0.5599143328
717	0.5592801793
718	0.5586989831
719	0.5582342072
720	0.5582034492
721	0.5575572446
722	0.5566056316
723	0.5560291885
724	0.5555954494
725	0.5549454117
726	0.5546459025
727	0.5540315374
728	0.5534212473
729	0.5529339623
730	0.5523090822
731	0.5519462519
732	0.55177261
733	0.551187845
734	0.5511644558
735	0.5504964021
736	0.5501755855
737	0.5495314487
738	0.5491263725
739	0.5487869667
740	0.5483581496
741	0.5479106394
742	0.5470644038
743	0.5468003959
744	0.5462061017
745	0.5461705707
746	0.5456932416
747	0.5455447663
748	0.5446983432
749	0.5442791904
750	0.5439223208
751	0.5433842829
752	0.5429245251
753	0.5422649588
754	0.5416244407
755	0.540596277
756	0.5401262352
757	0.539396671
758	0.5391052952
759	0.5381498629
760	0.5378516144
761	0.5371958206
762	0.5367886545
763	0.5364779346
764	0.5362932322
765	0.5360965554
766	0.5355445206
767	0.5347960847
768	0.5338051412
769	0.5333776825
770	0.533021315
771	0.5314772237
772	0.5310457165
773	0.5309623661
774	0.5305045392
775	0.5297036918
776	0.5295085119
777	0.5291019445
778	0.5287258673
779	0.5282500891
780	0.5279603541
781	0.52731633
782	0.5270469196
783	0.5262613959
784	0.5257944083
785	0.5254703449
786	0.5254472364
787	0.5250206535
788	0.5248865818
789	0.5245766441
790	0.5242553845
791	0.5238585559
792	0.5234578089
793	0.5226526066
794	0.5223348998
795	0.5219933743
796	0.5211741306
797	0.5209287266
798	0.5199767101
799	0.5197731239
800	0.519211236
801	0.5186966295
802	0.5182802625
803	0.5177709512
804	0.5173627562
805	0.5169484695
806	0.5167153072
807	0.5165944508
808	0.5163806623
809	0.5160019464
810	0.5156545504
811	0.5153569978
812	0.5151571922
813	0.5146487894
814	0.5145479898
815	0.5143838184
816	0.5142015139
817	0.5138207746
818	0.5132489157
819	0.5128371867
820	0.5125438419
821	0.5116418498
822	0.5110422781
823	0.5106135897
824	0.5102037576
825	0.5095286836
826	0.5093257746
827	0.5089689059
828	0.5085224582
829	0.5080176642
830	0.5075400901
831	0.506831466
832	0.5065260035
833	0.5064263754
834	0.5060439001
835	0.5056821147
836	0.5054628399
837	0.5047765766
838	0.5044258689
839	0.5040198963
840	0.5036888651
841	0.5029341579
842	0.5024379495
843	0.5019258282
844	0.5013566382
845	0.5010431285
846	0.5005442139
847	0.5002189831
848	0.5001861775
849	0.4997225857
850	0.4992430572
851	0.4992264943
852	0.4988122438
853	0.4984226015
854	0.4981625534
855	0.4974900719
856	0.4970246195
857	0.4961470392
858	0.4959310943
859	0.4959016364
860	0.4956346733
861	0.4951382477
862	0.4950127874
863	0.4947260671
864	0.4947077745
865	0.4946846773
866	0.4944179882
867	0.4936819762
868	0.4931390452
869	0.4930321873
870	0.4928010894
871	0.4926693138
872	0.4923277269
873	0.4919886112
874	0.4917407378
875	0.4915457437
876	0.4910803117
877	0.4907097172
878	0.4903573448
879	0.490037849
880	0.4897462771
881	0.4893444223
882	0.4888592028
883	0.4884175806
884	0.4878708923
885	0.487277396
886	0.4870016981
887	0.4865012358
888	0.4862549007
889	0.4858938717
890	0.4855086843
891	0.4851220019
892	0.4844051987
893	0.4838141457
894	0.4833535788
895	0.4829223306
896	0.4826733919
897	0.4823138293
898	0.4818906559
899	0.4814809803
900	0.4809783614
901	0.4805630516
902	0.4804923314
903	0.4799640715
904	0.4796567992
905	0.4791632723
906	0.4787754672
907	0.4784545253
908	0.4782284018
909	0.478027938
910	0.4777548649
911	0.4774410877
912	0.4772238816
913	0.4771204312
914	0.476833297
915	0.4762649275
916	0.475844393
917	0.4751661791
918	0.4749389106
919	0.474607874
920	0.4738706799
921	0.4733429407
922	0.4729443799
923	0.472317356
924	0.4719767383
925	0.4717922702
926	0.4713955078
927	0.4707025214
928	0.4705399731
929	0.470283648
930	0.4698005013
931	0.469565936
932	0.4694202199
933	0.4690556076
934	0.4685565374
935	0.4681199859
936	0.4677621368
937	0.4671752991
938	0.4669099722
939	0.466363574
940	0.4662060167
941	0.465965088
942	0.4657667484
943	0.4646451928
944	0.4642668394
945	0.4636902001
946	0.4634342429
947	0.4631367912
948	0.4630277502
949	0.4629323488
950	0.4627163209
951	0.46246678
952	0.4621760231
953	0.4620652681
954	0.4614254478
955	0.4609538165
956	0.4608061597
957	0.4605248971
958	0.4599890368
959	0.4592110839
960	0.4589269302
961	0.4587035294
962	0.4582812213
963	0.4580209468
964	0.4577367556
965	0.4575991776
966	0.4573217515
967	0.4567997224
968	0.4565298491
969	0.456232711
970	0.4560435469
971	0.4557393697
972	0.4554900311
973	0.4552521685
974	0.454928854
975	0.4549100483
976	0.4543973109
977	0.4542874925
978	0.4539291864
979	0.4537701703
980	0.4531302563
981	0.4527097155
982	0.4523922203
983	0.4521363577
984	0.4515706703
985	0.4514826857
986	0.4512419773
987	0.4507088106
988	0.4502996275
989	0.4499339672
990	0.4496573916
991	0.4494422649
992	0.4491603812
993	0.4489903585
994	0.4489020022
995	0.4487537568
996	0.44834838
997	0.4483298491
998	0.448115515
999	0.4476647065
